provide a forum for@R@	provide the opportunity for@R@
be short on	be nothing short of
top	outweigh
be played by@R@	take on
need in@R@	involve in@R@
be geared for@R@	be for@R@
be the only one in@R@	be the one in@R@
mix	mix up
be slated for	be scheduled for
be installed in@R@	install on@R@
be great about	be good about
pay off@R@	be paid by
be presented by	present@R@
go on	reside on
enable	customize
hope in	in
put out@R@	let go of@R@
nourish@R@	foster@R@
symbolize@R@	be symbolic of@R@
serve as	develop as
consider buy@R@	end up buy@R@
repair@R@	fix@R@
expect on@R@	want on@R@
offer a wide range of	have a variety of
like to share	want to have
leave to	reach out to
slip into	drive into
keep say	be observed by@R@
be the view of	be the opinion of
demand of@R@	of@R@
show up at@R@	at@R@
be expected to take	be to buy
be to write	be to create
make extensive use of	recommend the use of
hurt for	act for
piss@R@	pee@R@
offer a range of	have a large selection of
wish to@R@	use to@R@
be dubbed	be known as
be home in@R@	come home to@R@
pass	be reached by@R@
come to take@R@	want to take@R@
claim in	take in
need to increase@R@	want to increase@R@
be placed under@R@	work under@R@
become	want to become
go along	come along
require the use of	involve the use of
understand in	recognize in
live at@R@	at@R@
be harder than@R@	work better than@R@
start talk about	speak about
decide to take@R@	get to take@R@
come up from@R@	come from@R@
attach to@R@	stick to@R@
race	in
consult	speak with
journey to	travel to
be appointed as	take over as
be confident in	be sure of
be the purpose of	be the policy of
be thankful for	like to thank
be designed to help@R@	be helpful to@R@
refuse to accept	be acceptable to@R@
stay to@R@	stand to@R@
talk at	give at
be recognised as@R@	be recognized as@R@
ask one of@R@	buy one of@R@
be at	be offered at
progress in	come in
lean towards@R@	lean toward@R@
take less than	start take
transform	be changed by@R@
write from	work from
happen during@R@	fall during@R@
spend much time in@R@	disappear in@R@
have any interest in@R@	be interested in@R@
want of	of
use a combination of@R@	require the use of@R@
run down	go down in
switch on@R@	look for on@R@
take pride in	take great pride in
get to hear	get to enjoy
appreciate@R@	spot@R@
be selected in	be drawn from
pass for@R@	continue for@R@
rest for@R@	continue for@R@
be accepted for	present for
reach out to	run to
negotiate with	consult
mean nothing to	be meant by@R@
amass@R@	collect@R@
please feel free to contact	please call
be cool with@R@	be fine with@R@
end with@R@	conclude with@R@
access	reach
capitalize	give in to
need to visit@R@	need to see@R@
survey	be examined by@R@
develop an interest in	take an interest in
surpass	beat
gather on	agree on
have tie to	connect to
buy in	pick up in
rise from@R@	originate from@R@
be made from@R@	make of@R@
visit for	check for
have experience in@R@	specialise in@R@
guarantee@R@	excuse@R@
emphasize	bring out
limit@R@	define@R@
be disclosed to@R@	be conveyed to@R@
be the work of	be the nature of
be infected with@R@	test positive for@R@
come out of@R@	fall out of@R@
get over	have over
be installed in@R@	set up in@R@
get hit by	hit on@R@
disappear in@R@	pass in@R@
emerge from@R@	originate from@R@
please provide@R@	please add@R@
be surprised at	be surprised with
realize@R@	realise@R@
arise in@R@	happen in@R@
be carried by	carry@R@
renounce@R@	offer up@R@
have a major impact on	have a significant impact on
operate on	have on
feel with	receive with
shift	trade
attract the attention of	catch the attention of
use a number of	make extensive use of
be targeted to	be designed for
analyse@R@	practice@R@
set up in	on
ship@R@	ship in@R@
be hit with@R@	punch
compare to	translate to
discourage	deter
be taller than@R@	be than@R@
come on@R@	fall on@R@
be called by@R@	call up
honour@R@	reward@R@
be slated for@R@	be due for@R@
bring along@R@	bring out@R@
hear of	get wind of
time@R@	schedule@R@
last from@R@	last@R@
like to be	want to become
select one of	ask one of
work fine with@R@	work fine in@R@
have regard@R@	have doubt about@R@
concern	matter to
have knowledge of@R@	be knowledgeable about@R@
drop off	lay down
want to@R@	like to@R@
recall@R@	get a call from@R@
bust@R@	shatter@R@
plan to make@R@	plan to have@R@
add up	add up to
come for@R@	come in for@R@
enjoy the benefit of@R@	get the benefit of@R@
collapse on	come on
post a link to	pertain to
know the meaning of@R@	understand the meaning of@R@
activate	initiate
yell	call out
be like	be like have
be managed by	be formed by
come out at	fall at
be issued to@R@	be forwarded to@R@
be damaging to@R@	be harmful to@R@
be all kind of	be the sort of
interrupt	be disturbed by@R@
yell to	to
be lucky to get@R@	be lucky to have@R@
vie for	compete for
wasnt in@R@	be not in@R@
have a great time in@R@	plan a trip to@R@
start to make@R@	dont make@R@
fix up@R@	be defined by
swim	float
be asked in@R@	type in@R@
be all at	be at
want to study@R@	want to have@R@
play to@R@	know to@R@
earn from@R@	have the benefit of@R@
start look at	look down at
be inclusive of@R@	for@R@
be supposed to make	be designed to make
receive a call from@R@	try to call@R@
be true with	be true for
be the start of	be the first part of
provide information to@R@	have to@R@
print@R@	print out@R@
be addressed in@R@	be considered in@R@
tend to be	continue to be
collaborate on@R@	on@R@
head up to	go off to
surround@R@	be surrounded by
like have	have
be convinced by@R@	convince
place in@R@	lay down in@R@
write out	be by@R@
bring out the best in	be the best thing for
be conducted by@R@	direct
be shown by@R@	depict
be listed on	be provided in
glorify	praise
be a variety of	be a combination of
be set by	designate@R@
accumulate in	have in
be a fan of@R@	be fan of@R@
yield@R@	rejoin@R@
please post	mail
seem to know@R@	seem to have@R@
mean the end of	see the end of
whip out@R@	pull out@R@
function@R@	turn on@R@
love use	consider use
be shocked by	be surprised with
study at	be a professor at
sit in	put in
be studied in@R@	be reviewed in@R@
be example of	be an example of
be nominated by	propose@R@
want to kill@R@	want to move@R@
be helpful for@R@	be designed to allow@R@
look over at	look up at
know on@R@	enjoy@R@
be followed by@R@	follow
exchange	alternate
be derived from@R@	be taken from@R@
bend over	lean over
achieve in	go through in
break out of	come out
have any experience with@R@	experiment with@R@
need to think about	look up
belong in	fit in
suppress@R@	prevent@R@
turn up in	turn out in
be do@R@	be supposed to do@R@
want to add@R@	need to have@R@
read from	say from
begin in	take off in
establish for@R@	have for@R@
be alerted to	be informed of
work alongside@R@	want to work for@R@
be discovered	be developed
be the birthplace of@R@	be the creator of@R@
shape@R@	be shaped by
save for	have for
report for	make up
continue to work on@R@	continue work on@R@
be designed as@R@	be available as@R@
be cheaper than@R@	be safer than@R@
arrive on@R@	come down on@R@
work like	be played by@R@
be attentive to@R@	tend@R@
take a couple of@R@	have a couple of@R@
have two of	have a few of
enrol in	register in
be considered part of	be the part of
continue to take@R@	be taken by
be organised by@R@	arrange for
suck in	claim in
encounter with	come with
adjust for@R@	rectify@R@
transfer	send in
make with	need with
see with@R@	look with@R@
happen from@R@	take place from@R@
be reliant on	depend on
be asked in@R@	be asked@R@
harass	be abused by@R@
command	be control
serve in	act
hide@R@	mask@R@
roll to	push to
be got to be@R@	be gonna be@R@
be used with	be done use
discuss about@R@	speak@R@
approve of	be forwarded to@R@
lose interest in	express interest in
be expected to take	be to look at
cover some of	give an overview of
get up in@R@	get up@R@
be harder than@R@	be than@R@
be all based on@R@	be based upon@R@
have plan for@R@	plan to get@R@
make use	be made by@R@
leave room for	have space for
agree	live up to
get a lot of@R@	have lot of@R@
be held on@R@	be planned for@R@
be shot in	shoot on
restrain	discourage
love to play with@R@	work with@R@
be out of@R@	seem out of@R@
have the benefit of	earn from
be create@R@	be produce@R@
hit on@R@	hit@R@
be author of	author
be important for@R@	be essential for@R@
be converted into	be transformed into
be required for	be required
retrieve@R@	fetch@R@
look kind of@R@	be a form of@R@
be impressed by@R@	wow
be find@R@	find@R@
have little to do with	have a lot to do with
want to pay for	be charged for
be more difficult for@R@	be impossible for@R@
need to work on@R@	begin work on@R@
identify with@R@	connect with@R@
access to@R@	log in@R@
read on@R@	register on@R@
begin to develop	be prepared by@R@
exchange	swap
plan for@R@	design for@R@
be disclosed to	be revealed to
shield	protect
do to make@R@	want to make@R@
be used at	be used to
be out of	be taken out of
oppress@R@	harass@R@
piss@R@	be embraced by
end up use	start use
run at@R@	operate at@R@
embrace	cover
please enter	please have
confer@R@	allocate@R@
answer for@R@	know the answer to@R@
descend into	fall into
obscure@R@	dip@R@
be beautiful in@R@	be perfect in@R@
care	concern
check in@R@	pick up in@R@
be discovered in@R@	be reported in@R@
tell about@R@	be explained by
understand the concept of@R@	want to understand@R@
be geared toward@R@	be geared for@R@
be administered in	be run in
travel by@R@	get by@R@
initiate@R@	open up@R@
star as@R@	emerge@R@
be an expert in@R@	have expertise in@R@
enjoy some of	see some of
be ready in	be finished with
set foot on@R@	come onto@R@
play a part in	play a vital role in
yield@R@	be generated by
stock@R@	carry@R@
continue on	stay
be the task of@R@	be the purpose of@R@
lay down on	put on
tweak	tune
enjoy visit@R@	enjoy see@R@
be troubled by	be distracted by
take place during@R@	work during@R@
take most of@R@	be most of@R@
come about@R@	go on about@R@
be filmed in@R@	be shot in@R@
be accepted on@R@	be evaluated on@R@
be prepared to@R@	plan to@R@
be near	come near
know with	empathize with
break off@R@	breach@R@
be seen from@R@	be obtained from@R@
make change to	make change in
be better than	be than
be adopted in	be approved in
designate@R@	allocate@R@
see with@R@	empathize with@R@
result@R@	be the product of@R@
have one on@R@	take on@R@
make an impact on	have a positive impact on
start after@R@	leave after@R@
pardon	condone
abound in	abound in@R@
ask at	at
call@R@	try to call@R@
rush to@R@	hurry to@R@
drown in@R@	swim in@R@
get a job in	work
be common among	be widespread in
decide to go	sound to
snap	break through
provide a wealth of@R@	have year of@R@
want to run@R@	try to play@R@
be posted@R@	be posted to@R@
know have@R@	enjoy have@R@
pay at	ask at
mean much to	be meant by@R@
be to provide	be designed to provide
be true of@R@	be said about@R@
unload@R@	put down@R@
be a huge part of@R@	play an important part in@R@
look to get	expect to get
be sold at	be available through
wallow in@R@	indulge in@R@
get hit by@R@	be hit by@R@
choose to take	last about
be the chairman of	chair
be true to	have faith in
write with	with
celebrate with	have with
be reflective of	be a reflection of
be sold in	trade
sit beside@R@	sit down next to@R@
appear from@R@	originate from@R@
get bored of	be tired of
succeed to@R@	proceed to@R@
end@R@	conclude@R@
lease@R@	hire in@R@
be displayed to	be shown
bear@R@	be borne by
answer@R@	be answered by
have a negative impact on@R@	have a profound impact on@R@
continue after@R@	have after@R@
drop on@R@	descend on@R@
be available to	be distributed to
look under@R@	go under@R@
rejoin	render
receive from	from
be a great time for	be a great day for
take away	cut down
function as	exist as
save	help save
go after	follow after
be a model of	be a good example of
be listed by	list@R@
please call	please hesitate to contact
be interested in purchase	like to buy
fly@R@	operate in@R@
rush to@R@	creep to@R@
assign	pick
visit for@R@	for@R@
be built for	be by@R@
forbid	be prohibited by@R@
be due in@R@	be paid on@R@
stumble on	clash with
work better than@R@	be smaller than@R@
offer to	provide to
drive up@R@	run up@R@
be a major source of@R@	be loaded with@R@
love to go to	like to go to
enjoy some of@R@	see some of@R@
play a vital role in	play a key role in
mistake@R@	combine@R@
read of	get wind of
cure@R@	be defined by
ignite	awaken
be designed to assist@R@	be helpful to@R@
nod@R@	nod to@R@
take less than	take around
try to take	try to steal
collect from@R@	have from@R@
profit from	gain from
be offered as@R@	be created as@R@
be used of@R@	substitute for@R@
be issued by	lay out@R@
fit to@R@	be a perfect fit for@R@
be complete without@R@	be left without@R@
be important to	be crucial to
be made in	be made into
compound	increase
think of buy	want to buy
learn through	learn by
try to run	need to run
blogg about	blogg
be hard to@R@	be easy to@R@
deserve	merit
be hidden by@R@	conceal
be taken at@R@	be done at@R@
work of@R@	work out of@R@
introduce to	pose to
locate@R@	be by
be a major part of	become an integral part of
see during	meet during
endanger	be threatened by@R@
want to buy@R@	want to purchase@R@
try to have	decide to have
take@R@	continue to take@R@
start learn	learn
emerge in@R@	develop in@R@
fade	disappear
be willing to do	choose to do
plan on	think on
try to sell	be sold by@R@
wish to have@R@	plan to have@R@
send an e-mail to@R@	e-mail@R@
chase	continue after
work on get@R@	take on@R@
be called to@R@	be summoned to@R@
cater for@R@	shower@R@
transform into	convert into
be larger than	be greater than
need to improve	want to build
dissolve@R@	die in@R@
have knowledge of@R@	want to know more about@R@
contain within@R@	keep in@R@
inherit from@R@	have from@R@
help in	be supported by@R@
need to leave@R@	want to have@R@
dont need@R@	need to worry about@R@
draft	be drafted by@R@
enjoy see	like to see
get kind of	look kind of
cross over@R@	move over@R@
roll@R@	roll out@R@
have no bearing on@R@	bear on@R@
use some of@R@	try some of@R@
love on@R@	be enjoyed by
follow in	continue in
be allowed in@R@	be banned in@R@
disregard	omit
sit near	get near
call attention to	come to
come over@R@	fall over@R@
be taken at@R@	be conducted at@R@
shrink	cut down
diminish@R@	decrease@R@
be furnished with@R@	come with@R@
say before	have before
be an excellent source of@R@	be an important source of@R@
be present in	indicate on
stay on@R@	head on@R@
head down to@R@	head down@R@
begin to lose	start to lose
contract with@R@	sign up to@R@
time@R@	book@R@
descend on	land on
have lunch at@R@	have dinner at@R@
have a great selection of@R@	have a choice of@R@
be closest to	be the closest to
resort to@R@	come to@R@
be surrounded by@R@	surround
crawl into@R@	go into@R@
lie for	fly for
want to bring	want to add
click for@R@	click on@R@
see with	with
head on	stay
send in@R@	be sent by
get to be	get be
select one of@R@	take one of@R@
be examined in@R@	be detailed in@R@
be heavy for	be for
say this to@R@	remark to@R@
turn to face@R@	smile at@R@
clap	hold up
go out for@R@	arrive for@R@
sport@R@	boast of@R@
try to improve@R@	want to improve@R@
be slated for@R@	be set for@R@
be party to@R@	be a party to@R@
appear to have	expect to have
assume in	adopt in
exercise	practice
fit with@R@	be a good fit for@R@
suggest in	point out in
be positive for	be evaluated for
soak	push
start go to	enjoy go to
be certified in@R@	be licensed in@R@
take the train to	make our way to
be assessed by@R@	measure
select one of@R@	have one of@R@
come down on@R@	decide on@R@
deplete	eat up
be safer than@R@	be closer than@R@
be raised on@R@	grow up on@R@
be permitted on	be permitted in
be used@R@	be used to@R@
be trained as	qualify as
be perfect in@R@	be good in@R@
be a good source of	be packed with
want to read	want to visit
sing on@R@	talk on@R@
step of	move out of
amaze	surprise
be completed by@R@	finish
offer a wide selection of	provide a wide range of
be a victim of	be victim of
privatize@R@	disqualify@R@
refund@R@	reward@R@
extend into@R@	continue into@R@
analyse	compare
salute@R@	strengthen@R@
be included for	be listed for
be a story of@R@	tell the story of@R@
use a number of	recommend the use of
be passed in	be adopted in
be a major source of@R@	be the only source of@R@
start from	begin from
need to add@R@	need to use@R@
be noted for	be remembered for
be greeted by	greet@R@
get to play	be played by@R@
flow in@R@	flow@R@
be necessary to	be easy to
be good on	be good in
be prepared to@R@	choose to@R@
engage in	go up in
evolve in	continue in
walk into@R@	fall into@R@
be to build	be to help
stay within	have within
hail@R@	applaud@R@
be present in@R@	contribute in@R@
be a big part of@R@	be the most important part of@R@
progress through	come through
be an issue for	be a concern for
learn something from@R@	pick up from@R@
be nice in@R@	be excellent in@R@
morph into	be converted into
be one example of@R@	be an example of@R@
be represented by	be a symbol of@R@
sell for	be sold for
be a native of	be grown in
chair	serve on
despise	dislike
trick	be fooled by@R@
get to see@R@	get to meet@R@
stand out as	stand as
welcome to	be welcome to
be up to@R@	be to@R@
be the intention of@R@	be the role of@R@
be a part of@R@	be half of@R@
think most of@R@	think some of@R@
relish	savor
be the intent of@R@	be the policy of@R@
provide a wealth of@R@	provide lot of@R@
be filed in	be brought in
need about	want about
grant to@R@	be presented by
love love love	have a passion for
miss on@R@	want on@R@
accomplish in@R@	manage in@R@
be effective for@R@	be good for@R@
be time for	be a good time for
see in	listen in
represent for@R@	draw for@R@
be ordered to	be stationed at
become part of	form part of
patronize	have at
strike in@R@	shoot in@R@
buy be	have be
derive from@R@	hang from@R@
go with@R@	with@R@
consume	eat
take responsibility for	have responsibility for
be uploaded to@R@	be downloaded to@R@
emigrate to	journey to
be supposed to do@R@	like to do@R@
contain within@R@	pack in@R@
be organised by@R@	make arrangement for
swing@R@	drag@R@
draw for	represent for
quote@R@	quote from@R@
purchase in	pick up in
burn to	be destroyed by@R@
have less than@R@	have a minimum of@R@
calculate	come out
be about	be much about
need help with@R@	help out@R@
turn onto@R@	remain on@R@
behave@R@	use as@R@
be vice president of@R@	be directed by
plan to	like to
be bound to	be bound by
be happy to have	be lucky to have
absorb@R@	move into@R@
scour	seek out
want with@R@	have with@R@
provide service to	offer to
want about	chat about
carry on@R@	have on@R@
try at@R@	receive at@R@
move in	in
learn from	understand from
propose to	to
take about	last up to
learn be@R@	be seen by
journey to	move to
demand@R@	be needed by
be deployed to@R@	be ordered to@R@
need a break from	take a break from
hold up@R@	attach@R@
outperform@R@	outweigh@R@
head into@R@	drive into@R@
coordinate@R@	be organized by
need to do	manage to
be included with	include on
read some of@R@	get some of@R@
spread throughout	move around
be accepted in@R@	be accepted at@R@
go be	give be
hit@R@	collide with@R@
as	grow as
prey on	feed on
plan on get	hope to have
program	create
want to purchase@R@	like to buy@R@
aim@R@	ride@R@
shop at	want at
lie within@R@	stay within@R@
go something like	become like
try to help@R@	want to save@R@
be the gateway to@R@	be the heart of@R@
cheer for	amuse
be beaten by	beat@R@
deny@R@	turn down@R@
try to protect@R@	be protective of@R@
continue with@R@	carry on with@R@
be considered in@R@	be answered in@R@
be true of@R@	be true with@R@
be the author of	be author of
sit down next to	sit beside
stay to@R@	continue on to@R@
get a picture of	take a picture of
love do@R@	look to do@R@
have nothing in	have something in
be preserved in	be housed in
choose to take@R@	take less than@R@
thrive on	climb on
ask for@R@	call for@R@
be caught up in	get caught in
step in@R@	in@R@
ask about	speak about
await	wait for
be some kind of@R@	be a sort of@R@
start to make	make
live as	occur as
don't	wanna
lead to	give rise to
stick to@R@	to@R@
be done for@R@	be by@R@
be mandatory for	be required to
feel the need for@R@	have a need for@R@
look past	gaze at
help	be supported by@R@
watch with	with
fly in from	escape
look toward	walk toward
trick@R@	be fooled by
recount	tell
be great to	be difficult to
think thats	think
attract a lot of@R@	attract@R@
be more like@R@	feel more like@R@
talk at@R@	think at@R@
cry for@R@	be by
be born from@R@	be the fruit of@R@
tend to use@R@	be encouraged to use@R@
call to	have to
preach to	to
be communicated to	be shared with
last in@R@	live in@R@
share with	talk with
publish	put out
need to add@R@	want to include@R@
be supportive of@R@	have the support of@R@
volunteer for	volunteer in
be uncommon in	be unusual in
travel for@R@	follow for@R@
read be@R@	choose be@R@
behave@R@	for@R@
be willing to work with	do the work for
refund@R@	reimburse@R@
stick on	beat
be modified by@R@	modify
change in@R@	go up in@R@
provide information on	provide information about
be more important for@R@	be for@R@
start out in	be founded by@R@
train in@R@	practice in@R@
tackle	set off
near	go near
walk up to@R@	come up to@R@
mean in	guess in
have any interest in@R@	be most interested in@R@
be submitted in@R@	be provided in@R@
retrieve	find
anticipate	look to
condemn	criticize
offer be	want be
mount in	be mounted on
be cheaper than@R@	be larger than@R@
draw for@R@	pull for@R@
be all kind of	be kind of
remain at	at
be generated from@R@	generate from@R@
be caught up in@R@	in@R@
perform as	originate
visit for@R@	have for@R@
race in	in
be attentive to@R@	pay no attention to@R@
have many of	have any of
be issued in@R@	be submitted in@R@
be targeted at@R@	be targeted for@R@
volunteer for	volunteer at
end up use	begin use
be filled by@R@	abide by
gain from@R@	have from@R@
notify	be advised by@R@
be categorized as@R@	be considered as@R@
bump	criticise
be done through	be through
choose to do@R@	continue to do@R@
inhale	throw off
think about get	like to buy
be ready to	prefer to
produce@R@	turn@R@
speak at@R@	at@R@
be signed to@R@	sign up@R@
be renamed	change its name to
place in@R@	lay in@R@
speak at@R@	be present at@R@
make full use of@R@	enjoy use@R@
accumulate in	pick up in
trade with@R@	deal with@R@
be reached in@R@	be possible in@R@
clip@R@	cut down@R@
be built with	be designed with
total@R@	sum up@R@
frown at@R@	look up at@R@
facilitate@R@	improve@R@
criticize	knock
perform in@R@	be engaged in@R@
be changed by	personalize@R@
be the absence of@R@	miss in@R@
be updated in	be updated
necessitate@R@	cost@R@
head into@R@	ride through@R@
be posted in	be published
look about@R@	look@R@
dont know	don see
adhere to@R@	attach to@R@
want to see	need to read
mention about@R@	get about@R@
get like@R@	do something like@R@
drive with@R@	fly with@R@
need to work on@R@	continue work on@R@
wait in@R@	head in@R@
listen for	hang for
vary depend on@R@	be dependant on@R@
try at@R@	know at@R@
be sure to be	tend to be
take a bit of	have a bit of
have any suggestion for@R@	suggest@R@
store	compile
contain a list of	provide a list of
reimburse	be honored by@R@
deliver to	to
complain to@R@	be reported by
be made from	make out of
take its toll on	take a toll on
entitle@R@	pronounce@R@
be documented in	be discussed in
be important to keep@R@	be great to have@R@
be the chairman of	be the president of
need to take care of@R@	eat for@R@
don't	don
rule	overlook
be updated@R@	be published@R@
need to choose@R@	need to adjust@R@
be the state of	be a state of
make sense in@R@	be difficult in@R@
be easier on@R@	be tough on@R@
reproduce@R@	multiply@R@
see this in	listen in
be an integral part of@R@	play an important role in@R@
park in	go into
run on	on
bring about	play on
be governed by	rule on@R@
suggest in@R@	say in@R@
be the position of	be of
understand the difference between	distinguish between
go up for	carry for
be good to see	be to meet
contribute to@R@	give rise to@R@
want one of	have many of
inquire about@R@	ask about@R@
alternate	switch off
say about	find out more about
be said about@R@	be true with@R@
be inappropriate for	be unsuitable for
be governed by@R@	be dominated by@R@
worship@R@	on@R@
want to wear@R@	trim@R@
be the intention of@R@	be the policy of@R@
post a link to	have a link to
be shown at@R@	be presented at@R@
keep of@R@	of@R@
note on@R@	on@R@
be illegal for@R@	be uncommon for@R@
be nothing more than	become more of
migrate from@R@	move@R@
be provided@R@	be given on@R@
be chock full of	be packed full of
roll off	fly off
be more about@R@	be all about@R@
walk@R@	walk on@R@
be limited to@R@	be confined to@R@
be mounted on	mount to
hand	give
notice in@R@	maintain in@R@
decide to start	be started by@R@
want to improve@R@	need to have@R@
be do@R@	plan on do@R@
be designated for	be to be used for
cruise	be moved by@R@
weigh on	force
be published as@R@	be written as@R@
have a negative effect on@R@	impact@R@
be a great time for	be a chance for
reproduce@R@	repeat@R@
fling	throw away
look with@R@	go through with@R@
change from@R@	switch from@R@
be an active member of	be a found member of
commend@R@	make use of@R@
swim in	in
be studied in@R@	be examined in@R@
swap	switch on
be registered as	be filed by@R@
be chair of@R@	be the chairman of@R@
be amazed at	be surprised by
air on	be shown on
be crucial for	be for
be run	run on
shake@R@	elevate@R@
prove in	consider in
be launched in@R@	be launched on@R@
collect on@R@	find on@R@
be broken down into	be grouped into
be held@R@	be scheduled@R@
come through in	in
be resident in@R@	reside in@R@
be an expression of	be an act of
look with@R@	sympathize with@R@
appear like@R@	look something like@R@
include the use of	allow the use of
split into	be split into
continue to use	love use
rip	shoot
boil@R@	prepare@R@
be more of@R@	be more like@R@
fire@R@	use up@R@
be provided with@R@	be offered in@R@
be amazed at	be surprised at
prolong	lengthen
hire for	put on
resurrect	be raised by@R@
be much about@R@	be all about@R@
generate in	in
turn to@R@	come up to@R@
be the answer to	be answered by@R@
be vice president of	be the director of
develop for@R@	have for@R@
place on@R@	lay on@R@
be created as@R@	be available as@R@
claim to have	charge for
be a result of	be the result of
be grouped into@R@	be separated into@R@
pose as	pretend to be
touch on	be picked up by@R@
be opposed by@R@	defend
be nice to have	be good to have
teach in	have a degree in
vary by	vary
spray@R@	perpetuate@R@
be grounded in@R@	be all based on@R@
dictate	be ordered by@R@
eliminate@R@	turn down@R@
be simple as@R@	be easy as@R@
be launched in	be released
resign from	tap
be broken into	be broken down into
stand to	go on to
enter on	arrive on
stay@R@	carry on with@R@
be mounted on	mount on
win be@R@	play be@R@
wake up in	wake up with
discard@R@	flip through@R@
decipher@R@	rewrite@R@
bring from	return from
rest for@R@	hang for@R@
manage to do	try to do
be used by	use@R@
smooth	select
be confronted with@R@	be faced with@R@
elect	pick
love go to@R@	to@R@
set fire to@R@	shoot@R@
be married in	marry
argue about	talk about
pass along@R@	run along@R@
be to build	be to promote
look to do	decide to do
worsen	exacerbate
save from	have from
engulf	fall down
be built in	date to
articulate@R@	voice@R@
be essential for@R@	be important for@R@
find more information on	find more information about
try to start	need to have
seek out	search
cross into@R@	move into@R@
shake	put up
build to@R@	grow to@R@
be presented at	be all at
walk up to@R@	come to@R@
slam	betray
dissolve@R@	pass away in@R@
be received at@R@	be given at@R@
be accredited by	spend@R@
be most of	get most of
advertise	push
be asked in	be asked about
demonstrate to	show to
publish	write
be given by@R@	be given@R@
plan on get@R@	plan to get@R@
be rejected by	decline@R@
manage to make@R@	continue to make@R@
tend to make	take to make
sort through@R@	be separated by
provide lot of	offer a lot of
risk@R@	attempt@R@
want to do	be able to
learn to@R@	like to@R@
prosecute	follow
employ	be employed by@R@
be widespread in	be most common in
boast of@R@	feature@R@
provide a range of	have a large selection of
be caused by@R@	be a cause of
be introduced	be developed by
offer a wide variety of	have a range of
be those of@R@	be the of@R@
group@R@	screen@R@
be important to@R@	be crucial to@R@
be protected from	be more prone to
be put into	put into
make good use of	begin to use
board	have on
audition for@R@	try out for@R@
be embraced by@R@	be covered by@R@
be closed in	open at
be run by@R@	manage
prefer use	begin use
like to find@R@	want to find@R@
hear in	come across in
come to find	pay a visit to
learn to@R@	want to@R@
sew@R@	stitch@R@
lease	be hired by@R@
be surprised with@R@	surprise
be started on	be switched to
be wounded in	be in
be used with	involve the use of
be captivated by@R@	be fascinated with@R@
check on	see on
be left of	be for
be a first for	be the first in
want to save	want to have
jump on@R@	hop on@R@
preclude@R@	impede@R@
be asked in@R@	be asked for@R@
be performed by@R@	carry out
be the language of@R@	be the power of@R@
watch for	say for
declare@R@	be by
move on	on
be kept	be kept at
succeed in	win in
be invited to attend@R@	be invited to join@R@
thrust@R@	be embraced by
be credited to	be withdrawn from
be required to take@R@	be required to provide@R@
be signed to@R@	sign with@R@
be stunned by	surprise@R@
mix in@R@	add@R@
mean more to@R@	mean anything to@R@
be sure to be	appear to be
be started on	be treated with
itch@R@	stroke@R@
say with@R@	react with@R@
be awarded for	be for
regard as	consider as
meet at@R@	gather at@R@
prefer to	to
tend to get	continue to get
be handled in@R@	be resolved in@R@
need to get to	want to get to
consider be@R@	buy be@R@
happen between	take place from
transfer to@R@	pass to@R@
vary by	vary from
need help with	assist with
play a major role in	play a role in
be shown by	express@R@
overtake	be overtaken by@R@
weep for	cry out for
dont make	manage to make
be significant to@R@	be critical to@R@
make with@R@	have with@R@
cut in@R@	be cut in@R@
survey	analyse
stop read@R@	be read by
be awarded for	be issued for
look like on@R@	on@R@
take to make@R@	choose to make@R@
require the use of@R@	make extensive use of@R@
hold up to	hold to
help identify	be identified by@R@
be significant to@R@	be important to@R@
be to develop@R@	be to promote@R@
be to read	be to understand
recall@R@	need to call@R@
provide of@R@	have all of@R@
be held on	be set for
shop at@R@	patronize@R@
learn something about	think a lot about
preach to	teach to
ride	drive in
be rich in@R@	be a good source of@R@
take a closer look at	want to look at
launch into@R@	build@R@
want to join	express interest in
go buy	buy out
look down on@R@	pop up on@R@
be notified of@R@	be advised of@R@
wander to	swim to
discuss on	state on
struggle with	wrestle
waive	forfeit
quote from@R@	quote@R@
log onto@R@	get access to@R@
be required to submit	be required to have
reimburse	abide by
need of	take out of
bring out@R@	take out@R@
be kept out of	seem out of
want to check out@R@	need to check@R@
be said by@R@	abide by
flow from@R@	hang from@R@
get of	of
do most of	do any of
play as	be employed as
be treated as@R@	be described as@R@
need to buy	like to buy
dominate@R@	rule@R@
need to change	change the name of
note in	write in
produce for@R@	give for@R@
be a town in@R@	be a city in@R@
bring	take on
keep look at	look down at
be made at@R@	be shown at@R@
outline	read
chase@R@	chase after@R@
settle	decide
be granted	be robbed of
be conducted on	be carried out on
be held by	be by
tie	draw
get a job in@R@	work on in@R@
be grateful for	want to thank
flee from@R@	fly to@R@
simulate@R@	emulate@R@
be entitled@R@	have the right of@R@
rise in@R@	come in@R@
drain	empty
use any of	make one of
be generated by	be by
float in	proceed in
be done through@R@	be through@R@
be retained in	be stored in
consider make@R@	decide to make@R@
whisper in@R@	sing in@R@
be recommended to use@R@	recommend the use of@R@
shrink	diminish
begin use@R@	begin to use@R@
bend over	lean into
be submitted in@R@	be received in@R@
know	see
ask for	cry out for
digest	abide
be hooked on	become addicted to
observe in	write in
be get@R@	gonna get@R@
find one of@R@	get any of@R@
be marked on@R@	be written on@R@
close for@R@	be closed for@R@
